Date,Direction,Amount,Style,Ticker,Call/Put,Spot,Strike,Shares,Expiry,Vol
06/01/2013,Buy,34,Vanilla,BSD2 GR 12/13 P5 Equity,Put,5.498,5,100,12/20/2013,
12/20/2013,Sell,0,Vanilla,BSD2 GR 12/13 P5 Equity,Put,6.372,5,100,12/20/2013,
12/20/2013,Buy,34,Vanilla,BSD2 GR 6/14 P5.75 Equity,Put,6.372,5.75,100,06/20/2014,
06/20/2014,Sell,0,Vanilla,BSD2 GR 6/14 P5.75 Equity,Put,7.842,5.75,100,06/20/2014,
06/20/2014,Buy,34,Vanilla,BSD2 GR 12/14 P7.25 Equity,Put,7.842,7.25,100,12/19/2014,
12/19/2014,Sell,15.7,Vanilla,BSD2 GR 12/14 P7.25 Equity,Put,7.093,7.25,100,12/19/2014,
12/19/2014,Buy,39,Vanilla,BSD2 GR 6/15 P6.5 Equity,Put,7.093,6.5,100,06/19/2015,
06/19/2015,Sell,9.4,Vanilla,BSD2 GR 6/15 P6.5 Equity,Put,6.406,6.5,100,06/19/2015,
06/19/2015,Buy,34,Vanilla,BSD2 GR 12/15 P6 Equity,Put,6.406,6,100,12/18/2015,
12/18/2015,Sell,129.6,Vanilla,BSD2 GR 12/15 P6 Equity,Put,4.704,6,100,12/18/2015,
12/18/2015,Buy,29,Vanilla,BSD2 GR 6/16 P4.3 Equity,Put,4.704,4.3,100,06/17/2016,
06/17/2016,Sell,49.400019,Vanilla,BSD2 GR 6/16 P4.3 Equity,Put,3.806,4.3,100,06/17/2016,
06/17/2016,Buy,38,Vanilla,BSD2 GR 12/16 P3.5 Equity,Put,3.806,3.5,100,12/16/2016,
12/16/2016,Sell,0,Vanilla,BSD2 GR 12/16 P3.5 Equity,Put,5.033,3.5,100,12/16/2016,
12/16/2016,Buy,32,Vanilla,BSD2 GR 6/17 P4.6 Equity,Put,5.033,4.6,100,06/16/2017,
06/16/2017,Sell,0,Vanilla,BSD2 GR 6/17 P4.6 Equity,Put,5.854,4.6,100,06/16/2017,
06/16/2017,Buy,38,Vanilla,BSD2 GR 12/17 P5.41 G2 Equity,Put,5.854,5.5,100,12/15/2017,
12/15/2017,Sell,0,Vanilla,BSD2 GR 12/17 P5.41 G2 Equity,Put,5.624,5.59,98.3556,12/15/2017,
12/15/2017,Buy,27.814964,Vanilla,BSD2 GR 6/18 P5.16 G2 Equity,Put,5.624,5.16,99.339156,06/15/2018,
06/15/2018,Sell,47.533771,Vanilla,BSD2 GR 6/18 P5.16 G2 Equity,Put,4.6815,5.16,99.339156,06/15/2018,
06/15/2018,Buy,22.621788,Vanilla,BSD2 GR 12 P4.3 Equity,Put,4.6815,4.3,98.3556,12/21/2018,
08/22/2018,Sell,21.638232,Vanilla,BSD2 GR 12 P4.3 Equity,Put,4.355,4.3,98.3556,12/21/2018,
