Date,Direction,Amount,Style,Ticker,Call/Put,Spot,Strike,Shares,Expiry,Vol
06/01/2013,Buy,361.999989,Vanilla,SGE GR 6/14 P28 Equity,Put,30.595,28,100,06/20/2014,
06/20/2014,Sell,0,Vanilla,SGE GR 6/14 P28 Equity,Put,40.87,28,100,06/20/2014,
06/20/2014,Buy,256.999993,Vanilla,SGE GR 6/15 P36 Equity,Put,40.87,36,100,06/19/2015,
06/19/2015,Sell,0,Vanilla,SGE GR 6/15 P36 Equity,Put,42.405,36,100,06/19/2015,
06/19/2015,Buy,224,Vanilla,SGE GR 6/16 P36 Equity,Put,42.405,36,100,06/17/2016,
06/17/2016,Sell,313,Vanilla,SGE GR 6/16 P36 Equity,Put,32.87,36,100,06/17/2016,
06/17/2016,Buy,360.99999,Vanilla,SGE GR 6/17 P28 Equity,Put,32.87,28,100,06/16/2017,
06/16/2017,Sell,0,Vanilla,SGE GR 6/17 P28 Equity,Put,46.49,28,100,06/16/2017,
06/16/2017,Buy,354,Vanilla,SGE GR 6/18 P40 Equity,Put,46.49,40,100,06/15/2018,
06/15/2018,Sell,308.5,Vanilla,SGE GR 6/18 P40 Equity,Put,36.915,40,100,06/15/2018,
06/15/2018,Buy,203,Vanilla,SGE GR 6 P32 Equity,Put,36.915,32,100,06/21/2019,
08/22/2018,Sell,196,Vanilla,SGE GR 6 P32 Equity,Put,36.04,32,100,06/21/2019,
